anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2021,1,San Luis,8.89,31.08
2021,1,Santa Cruz,11.9,40
2021,1,Santa Fe,19.33,61.46
2021,1,Santiago Del Estero,16.2,65.27
2021,1,Tierra Del Fuego,23.85,80.43
2021,1,Tucumán,6.47,26.12
2021,2,Buenos Aires,16.58,49.7
2021,2,CABA,24.09,58.32
2021,2,Catamarca,10.23,40.2
2021,2,Chaco,9.65,36.1
2021,2,Chubut,11.76,38.37
2021,2,Córdoba,28.27,92.34
2021,2,Corrientes,9.97,37.88
2021,2,Entre Ríos,15.93,53.29
2021,2,Formosa,9.94,39.07
2021,2,Jujuy,13.67,53.47
2021,2,La Pampa,22.07,67
2021,2,La Rioja,5.09,19.13
2021,2,Mendoza,5.41,19.39
2021,2,Misiones,11.01,40.43
2021,2,Neuquén,11.63,39.07
2021,2,Río Negro,14.68,47.74
2021,2,Salta,13.57,56.03
2021,2,San Juan,4.28,16.79
2021,2,San Luis,8.89,31.05
2021,2,Santa Cruz,11.32,38.06
2021,2,Santa Fe,18.95,60.28
2021,2,Santiago Del Estero,16.4,66.08
2021,2,Tierra Del Fuego,23.77,80.18
2021,2,Tucumán,6.66,26.9
2021,3,Buenos Aires,16.78,50.19
2021,3,CABA,24.21,58.69
2021,3,Catamarca,10.38,40.8
2021,3,Chaco,9.49,35.49
2021,3,Chubut,11.84,38.64
2021,3,Córdoba,29.06,94.91
