anio,trimestre,provincia,accesos_100_hab,accesos_100_hog
2018,3,San Juan,15.04,59.04
2018,3,San Luis,8.92,31.17
2018,3,Santa Cruz,12.66,42.55
2018,3,Santa Fe,19.29,61.36
2018,3,Santiago del Estero,5.59,22.53
2018,3,Tierra del Fuego,20.15,67.95
2018,3,Tucumán,12.89,52.05
2018,4,Buenos Aires,26.4,80.98
2018,4,CABA,57.12,136.67
2018,4,Catamarca,9.02,35.48
2018,4,Chaco,8.08,30.22
2018,4,Chubut,19.5,63.61
2018,4,Córdoba,18.14,59.23
2018,4,Corrientes,8.77,33.3
2018,4,Entre Ríos,15.19,50.79
2018,4,Formosa,6.48,25.46
2018,4,Jujuy,6.92,27.07
2018,4,La Pampa,21.62,65.62
2018,4,La Rioja,8.79,33.01
2018,4,Mendoza,18.42,66.01
2018,4,Misiones,8.41,30.89
2018,4,Neuquén,16.78,56.38
2018,4,Río Negro,19.07,62.01
2018,4,Salta,9.05,37.35
2018,4,San Juan,15.01,58.92
2018,4,San Luis,10.4,36.34
2018,4,Santa Cruz,12.6,42.35
2018,4,Santa Fe,19.97,63.51
2018,4,Santiago del Estero,7.71,31.05
2018,4,Tierra del Fuego,20.02,67.52
2018,4,Tucumán,12.65,51.07
2019,1,Buenos Aires,20.58,63
2019,1,CABA,52.1,124.82
2019,1,Catamarca,8.81,34.64
2019,1,Chaco,7.88,29.5
2019,1,Chubut,14.67,47.84
2019,1,Córdoba,17.69,57.78
2019,1,Corrientes,8.58,32.59
2019,1,Entre Ríos,14.88,49.78
2019,1,Formosa,6.32,24.81
2019,1,Jujuy,6.82,26.68
2019,1,La Pampa,18.59,56.42
2019,1,La Rioja,8.49,31.89
2019,1,Mendoza,12.28,43.99
2019,1,Misiones,8.18,30.04
2019,1,Neuquén,12.8,42.99
2019,1,Río Negro,13.66,44.41
2019,1,Salta,8.78,36.23
2019,1,San Juan,11.16,43.79
2019,1,San Luis,8.58,29.99
2019,1,Santa Cruz,9.66,32.47
2019,1,Santa Fe,19.58,62.26
2019,1,Santiago del Estero,7.55,30.43
2019,1,Tierra del Fuego,15.01,50.62
2019,1,Tucumán,12.39,50.03
2019,2,Buenos Aires,16.33,49.88
2019,2,CABA,37.11,89.03
2019,2,Catamarca,8.52,33.51
2019,2,Chaco,7.69,28.78
2019,2,Chubut,14.17,46.22
2019,2,Córdoba,17.33,56.6
2019,2,Corrientes,8.42,31.96
2019,2,Entre Ríos,14.59,48.8
2019,2,Formosa,6.13,24.09
2019,2,Jujuy,6.73,26.31
2019,2,La Pampa,18.19,55.2
2019,2,La Rioja,8.14,30.56
2019,2,Mendoza,11.82,42.35
2019,2,Misiones,7.97,29.27
2019,2,Neuquén,12.48,41.94
2019,2,Río Negro,13.14,42.71
2019,2,Salta,8.52,35.18
2019,2,San Juan,10.89,42.75
2019,2,San Luis,6.68,23.33
2019,2,Santa Cruz,9.27,31.14
2019,2,Santa Fe,19.14,60.87
2019,2,Santiago del Estero,7.39,29.77
2019,2,Tierra del Fuego,14.36,48.44
2019,2,Tucumán,12.05,48.63
2019,3,Buenos Aires,19.63,59.81
2019,3,CABA,48.73,117.04
2019,3,Catamarca,7.92,31.15
2019,3,Chaco,7.39,27.65
2019,3,Chubut,13.75,44.84
2019,3,Córdoba,16.42,53.64
2019,3,Corrientes,8.19,31.11
2019,3,Entre Ríos,14.12,47.24
2019,3,Formosa,5.98,23.51
2019,3,Jujuy,6.56,25.66
